Data;4189 - Taxa de juros - Selic acumulada no mês anualizada base 252 - % a.a.;4390 - Taxa de juros - Selic acumulada no mês - % a.m.,,
12/2006;13,19 ;0,99
01/2007;13,13 ;1,8
02/2007;12,93 ;0,87
03/2007;12,74 ;1,5
04/2007;12,58 ;0,94
05/2007;12,43 ;1,3
06/2007;12,03 ;0,91
07/2007;11,73 ;0,97
08/2007;11,43 ;0,99
09/2007;11,22 ;0,80
10/2007;11,18 ;0,93
11/2007;11,18 ;0,84
12/2007;11,18 ;0,84
01/2008;11,18 ;0,93
02/2008;11,18 ;0,80
03/2008;11,18 ;0,84
04/2008;11,37 ;0,90
05/2008;11,63 ;0,88
06/2008;12,09 ;0,96
07/2008;12,36 ;1,7
08/2008;12,92 ;1,2
09/2008;13,39 ;1,10
10/2008;13,66 ;1,18
11/2008;13,64 ;1,2
12/2008;13,66 ;1,12
01/2009;13,32 ;1,5
02/2009;12,66 ;0,86
03/2009;11,70 ;0,97
04/2009;11,11 ;0,84
05/2009;10,16 ;0,77
06/2009;9,54 ;0,76
07/2009;9,01 ;0,79
08/2009;8,65 ;0,69
09/2009;8,65 ;0,69
10/2009;8,65 ;0,69
11/2009;8,65 ;0,66
12/2009;8,65 ;0,73
01/2010;8,65 ;0,66
02/2010;8,65 ;0,59
03/2010;8,65 ;0,76
04/2010;8,72 ;0,67
05/2010;9,40 ;0,75
06/2010;9,94 ;0,79
07/2010;10,32 ;0,86
08/2010;10,66 ;0,89
09/2010;10,66 ;0,85
10/2010;10,66 ;0,81
11/2010;10,66 ;0,81
12/2010;10,66 ;0,93
01/2011;10,85 ;0,86
02/2011;11,17 ;0,84
03/2011;11,62 ;0,92
04/2011;11,74 ;0,84
05/2011;11,92 ;0,99
06/2011;12,10 ;0,96
07/2011;12,25 ;0,97
08/2011;12,42 ;1,7
09/2011;11,91 ;0,94
10/2011;11,70 ;0,88
11/2011;11,40 ;0,86
12/2011;10,90 ;0,91
01/2012;10,70 ;0,89
02/2012;10,40 ;0,75
03/2012;9,82 ;0,82
04/2012;9,35 ;0,71
05/2012;8,87 ;0,74
06/2012;8,39 ;0,64
07/2012;8,07 ;0,68
08/2012;7,85 ;0,69
09/2012;7,39 ;0,54
10/2012;7,23 ;0,61
11/2012;7,14 ;0,55
12/2012;7,16 ;0,55
01/2013;7,11 ;0,60
02/2013;7,12 ;0,49
03/2013;7,15 ;0,55
04/2013;7,26 ;0,61
05/2013;7,42 ;0,60
06/2013;7,90 ;0,61
07/2013;8,23 ;0,72
08/2013;8,45 ;0,71
09/2013;8,90 ;0,71
10/2013;9,25 ;0,81
11/2013;9,45 ;0,72
12/2013;9,90 ;0,79
01/2014;10,17 ;0,85
02/2014;10,43 ;0,79
03/2014;10,65 ;0,77
04/2014;10,87 ;0,82
05/2014;10,90 ;0,87
06/2014;10,90 ;0,82
07/2014;10,90 ;0,95
08/2014;10,90 ;0,87
09/2014;10,90 ;0,91
10/2014;10,92 ;0,95
11/2014;11,15 ;0,84
12/2014;11,58 ;0,96
01/2015;11,82 ;0,94
02/2015;12,15 ;0,82
03/2015;12,58 ;1,4
04/2015;12,68 ;0,95
05/2015;13,15 ;0,99
06/2015;13,58 ;1,7
07/2015;13,69 ;1,18
08/2015;14,15 ;1,11
09/2015;14,15 ;1,11
10/2015;14,15 ;1,11
11/2015;14,15 ;1,6
12/2015;14,15 ;1,16
01/2016;14,15 ;1,6
02/2016;14,15 ;1,0
03/2016;14,15 ;1,16
04/2016;14,15 ;1,6
05/2016;14,15 ;1,11
06/2016;14,15 ;1,16
07/2016;14,15 ;1,11
08/2016;14,15 ;1,22
09/2016;14,15 ;1,11
10/2016;14,05 ;1,5
11/2016;13,90 ;1,4
12/2016;13,65 ;1,12
01/2017;13,17 ;1,9
02/2017;12,82 ;0,87
03/2017;12,15 ;1,5
