Data;29037 - Endividamento das famílias com o Sistema Financeiro Nacional em relação à renda acumulada dos últimos doze meses (RNDBF) - %,
12/2006;21,98
01/2007;22,28
02/2007;22,48
03/2007;22,4
04/2007;22,36
05/2007;22,88
06/2007;23,9
07/2007;23,57
08/2007;23,77
09/2007;23,97
10/2007;24,56
11/2007;24,88
12/2007;24,96
01/2008;25,29
02/2008;25,50
03/2008;25,99
04/2008;26,45
05/2008;26,80
06/2008;26,92
07/2008;27,15
08/2008;27,25
09/2008;27,41
10/2008;27,78
11/2008;27,46
12/2008;27,44
01/2009;27,26
02/2009;27,26
03/2009;27,32
04/2009;27,49
05/2009;27,85
06/2009;28,1
07/2009;28,15
08/2009;28,42
09/2009;28,76
10/2009;28,93
11/2009;29,12
12/2009;29,45
01/2010;29,82
02/2010;29,95
03/2010;30,35
04/2010;30,70
05/2010;31,19
06/2010;31,41
07/2010;32,3
08/2010;32,34
09/2010;32,65
10/2010;32,94
11/2010;33,46
12/2010;33,97
01/2011;34,10
02/2011;34,23
03/2011;34,86
04/2011;34,90
05/2011;35,12
06/2011;35,29
07/2011;35,36
08/2011;35,97
09/2011;36,27
10/2011;36,43
11/2011;36,46
12/2011;36,53
01/2012;36,80
02/2012;36,82
03/2012;36,91
04/2012;37,1
05/2012;37,20
06/2012;37,40
07/2012;37,53
08/2012;37,70
09/2012;37,49
10/2012;37,67
11/2012;37,84
12/2012;38,0
01/2013;38,19
02/2013;38,27
03/2013;38,10
04/2013;38,25
05/2013;38,38
06/2013;38,37
07/2013;38,54
08/2013;38,66
09/2013;38,46
10/2013;38,35
11/2013;38,37
12/2013;38,36
01/2014;38,36
02/2014;38,29
03/2014;38,18
04/2014;38,17
05/2014;38,34
06/2014;38,52
07/2014;38,61
08/2014;38,68
09/2014;38,78
10/2014;39,0
11/2014;39,1
12/2014;39,29
01/2015;39,64
02/2015;39,64
03/2015;39,74
04/2015;40,3
05/2015;40,5
06/2015;40,13
07/2015;40,42
08/2015;40,61
09/2015;40,84
10/2015;40,87
11/2015;40,60
12/2015;40,9
01/2016;40,6
02/2016;39,70
03/2016;39,55
04/2016;39,28
05/2016;39,22
06/2016;39,7
07/2016;38,88
08/2016;38,78
09/2016;38,53
10/2016;38,28
11/2016;38,31
12/2016;38,20
01/2017;38,5
02/2017;37,92
03/2017;37,83
04/2017;37,49
05/2017;37,35
06/2017;37,36
07/2017;37,36
08/2017;37,41
09/2017;37,28
10/2017;37,33
11/2017;37,40
12/2017;37,25
01/2018;37,33
02/2018;37,33
03/2018;37,36
04/2018;37,58
05/2018;37,85
06/2018;37,94
07/2018;37,91
08/2018;38,9
09/2018;38,11
10/2018;38,36
11/2018;38,80
12/2018;39,3
01/2019;39,29
02/2019;39,54
03/2019;39,59
04/2019;39,82
05/2019;40,11
06/2019;40,56
07/2019;40,73
08/2019;41,13
09/2019;41,21
10/2019;41,35
11/2019;41,58
12/2019;41,47
01/2020;41,51
02/2020;41,46
03/2020;41,55
04/2020;40,86
05/2020;40,3
06/2020;39,37
07/2020;39,23
08/2020;39,20
09/2020;39,59
10/2020;40,20
11/2020;41,3
12/2020;41,75
01/2021;42,6
02/2021;42,25
03/2021;42,43
04/2021;42,88
05/2021;43,83
06/2021;44,52
07/2021;45,18
08/2021;46,43
09/2021;47,47
10/2021;48,16
11/2021;48,92
12/2021;49,44
01/2022;49,60
02/2022;49,47
03/2022;49,52
04/2022;49,60
05/2022;49,49
06/2022;49,62
07/2022;49,88
08/2022;49,59
09/2022;49,48
10/2022;49,66
11/2022;49,41
12/2022;49,0
01/2023;48,95
02/2023;48,66
03/2023;48,58
04/2023;48,51
05/2023;48,83
06/2023;48,40
07/2023;47,98
08/2023;48,17
09/2023;48,6
10/2023;48,13
11/2023;48,13
12/2023;47,69
01/2024;47,84
02/2024;47,78
03/2024;47,75
04/2024;47,70
05/2024;47,57
06/2024;47,67
07/2024;47,84
08/2024;47,99
09/2024;48,1
10/2024;48,7
11/2024;48,29
12/2024;48,43
01/2025;48,62
02/2025;48,49
03/2025;48,56
