Data,433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal,3695 - Taxa de câmbio - Livre - Dólar americano (compra) - Fim de período - mensal - u.m.c./US$,4380 - PIB mensal - Valores correntes (R$ milhões) - R$ (milhões),4469 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Governo Federal - R$ (milhões),4470 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Banco Central - R$ (milhões),4472 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Governos estaduais - R$ (milhões),4473 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Governos municipais - R$ (milhões),13761 - Dívida bruta do governo geral - Saldos em R$ milhões - Metodologia utilizada a partir de 2008 - R$ (milhões),13762 - Dívida bruta do governo geral (% PIB) - Metodologia utilizada a partir de 2008 - %,"13763 - Dívida bruta do governo geral - Saldos em US$ milhões - Metodologia utilizada a partir de 2008 - US$ (milhões),,,,,,,,,,",4189 - Taxa de juros - Selic acumulada no mês anualizada base 252 - % a.a.,"4390 - Taxa de juros - Selic acumulada no mês - % a.m.,,","29037 - Endividamento das famílias com o Sistema Financeiro Nacional em relação à renda acumulada dos últimos doze meses (RNDBF) - %,"
12/2006,"0,48 ","2,1372 ","215.338,3 ","727.318,55 ","8.481,33 ","316.863,54 ","47.073,27 ","1.336.644,90 ","55,48 ","625.418,73","13,19 ","0,99","21,98"
01/2007,"0,44 ","2,1239 ","206.662,3 ","739.728,91 ","-4.509,71 ","316.460,09 ","46.447,36 ","1.367.451,91 ","56,17 ","643.840,6","13,13 ","1,8","22,28"
02/2007,"0,44 ","2,1174 ","201.552,1 ","747.648,62 ","-4.194,13 ","317.158,09 ","46.653,24 ","1.399.083,71 ","56,90 ","660.755,51","12,93 ","0,87","22,48"
03/2007,"0,37 ","2,0496 ","223.208,6 ","750.319,85 ","5.830,79 ","316.163,14 ","46.477,56 ","1.423.273,45 ","57,24 ","694.415,23","12,74 ","1,5","22,4"
04/2007,"0,25 ","2,0331 ","218.931,2 ","745.927,20 ","7.990,12 ","314.070,80 ","46.673,09 ","1.438.854,85 ","57,17 ","707.714,75","12,58 ","0,94","22,36"
05/2007,"0,28 ","1,9281 ","227.535,3 ","746.223,25 ","26.137,48 ","312.121,57 ","47.083,49 ","1.474.335,20 ","57,91 ","764.657,2","12,43 ","1,3","22,88"
06/2007,"0,28 ","1,9254 ","224.188,2 ","749.832,29 ","25.078,13 ","311.041,73 ","47.175,10 ","1.499.458,73 ","58,23 ","778.777,78","12,03 ","0,91","23,9"
07/2007,"0,24 ","1,8768 ","230.916,3 ","753.805,99 ","31.752,42 ","309.842,66 ","47.143,06 ","1.517.874,00 ","58,32 ","808.756,39","11,73 ","0,97","23,57"
08/2007,"0,47 ","1,9612 ","233.905,1 ","765.456,68 ","13.999,48 ","310.435,53 ","48.027,90 ","1.536.267,53 ","58,46 ","783.330,37","11,43 ","0,99","23,77"
09/2007,"0,18 ","1,8381 ","227.024,4 ","763.420,70 ","35.347,21 ","313.807,73 ","48.709,44 ","1.533.431,76 ","57,88 ","834.248,28","11,22 ","0,80","23,97"
